scenario_id,distribution_shape,windcrete_reinforcement_upper_fraction,capacity_factor_copula_rho,tie_threshold,comparison_group,case_a,case_b,estimand,sample_fraction_a_lower,replicate_sd_sample_fraction_a_lower,replicate_min_sample_fraction_a_lower,replicate_max_sample_fraction_a_lower,sample_fraction_b_lower,replicate_sd_sample_fraction_b_lower,replicate_min_sample_fraction_b_lower,replicate_max_sample_fraction_b_lower,sample_fraction_tie,replicate_sd_sample_fraction_tie,replicate_min_sample_fraction_tie,replicate_max_sample_fraction_tie,n_replicates,n_samples_per_replicate,n_samples_total,replicate_seeds,interpretation,no_central_claim
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,ab_reported_material_pair,monopile_15mw,tlp_15mw,deployment_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,ab_reported_material_pair,monopile_15mw,volturnus_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,ab_reported_material_pair,monopile_15mw,volturnus_15mw,equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,ab_reported_material_pair,monopile_15mw,volturnus_15mw,deployment_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,ab_reported_material_pair,tlp_15mw,volturnus_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,ab_reported_material_pair,tlp_15mw,volturnus_15mw,equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,ab_reported_material_pair,tlp_15mw,volturnus_15mw,deployment_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,targeted_windcrete_tlp,windcrete_15mw,tlp_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,targeted_windcrete_tlp,windcrete_15mw,tlp_15mw,equal_yield_gco2_per_kwh,0.9972666666666666,0.00039228674319799164,0.99675,0.9977,0.0017333333333333333,0.00032744804507314166,0.00135,0.00215,0.001,7.071067811865478e-05,0.00095,0.0011,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,targeted_windcrete_tlp,windcrete_15mw,tlp_15mw,deployment_gco2_per_kwh,0.9804833333333334,0.00037712361663283614,0.97995,0.98075,0.015616666666666668,0.00035668224265054493,0.01525,0.0161,0.0039000000000000003,0.00010801234497346449,0.00375,0.004,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,targeted_monopile_windcrete,monopile_15mw,windcrete_15mw,core_equal_yield_gco2_per_kwh,0.1211,0.0014899664425751338,0.1199,0.1232,0.8669166666666667,0.0014777986631773813,0.8649,0.8684,0.011983333333333334,0.0002718251071716679,0.0117,0.01235,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
